No.,Question,Option A,Option B,Option C,Option D,Correct Answer,Topic,Difficulty
248,Complete the sentence: “You ___ wear a seatbelt.”,must,might,could,would,A,Modal of Necessity & Obligation,Intermediate
249,Identify the correct usage:,You have to study hard.,You has to study hard.,You must to study hard.,You must studied hard.,A,Modal of Necessity & Obligation,Advanced
250,"Choose the correct form: “If it rains, we ___ cancel the trip.”",will,would,might,can,A,First Conditional,Basic
251,"Complete the sentence: “If she studies, she ___ pass.”",will,can,must,might,A,First Conditional,Intermediate
252,Identify the correct usage:,"If I will see her, I tell her.","If I see her, I’ll tell her.","If I saw her, I’ll tell her.","If I’ll see her, I told her.",B,First Conditional,Advanced
253,Choose the correct comparative: “She is ___ than her sister.”,tall,taller,tallest,more tall,B,Comparative Adjectives,Basic
254,Complete the sentence: “Today is ___ than yesterday.”,cold,colder,coldest,more cold,B,Comparative Adjectives,Intermediate
255,Identify the correct usage:,He is more friendly than his brother.,He is friendlier than his brother.,Both A and B,He is most friendly than his brother.,C,Comparative Adjectives,Advanced
256,Choose the correct form: “He is the ___ student in the class.”,tall,taller,tallest,most tall,C,Superlative Adjectives,Basic
257,Complete the sentence: “This is the ___ day of my life.”,good,better,best,most good,C,Superlative Adjectives,Intermediate
258,Identify the correct sentence:,He is the more smart of all.,He is the smartest of all.,He is the most smarter.,He is smartest of all.,B,Superlative Adjectives,Advanced
259,Choose the correct form: “I enjoy ___ music.”,play,playing,to play,played,B,Gerunds & Infinitives,Basic
260,Complete the sentence: “She decided ___ early.”,to leave,leave,leaving,leaves,A,Gerunds & Infinitives,Intermediate
261,Identify the correct usage:,He avoids to talk in public.,He avoids talking in public.,He avoids talk in public.,He avoid talking in public.,B,Gerunds & Infinitives,Advanced
262,Choose the correct sentence: “She made it ___.”,herself,itself,themselves,himself,A,Reflexive Pronouns,Basic
263,Fill in the blank: “They built the house by ___.”,themself,themselves,theirselves,theyself,B,Reflexive Pronouns,Intermediate
264,Identify the correct sentence:,I cut myself while cooking.,I cut me while cooking.,I cut by myself while cooking.,I cut mine while cooking.,A,Reflexive Pronouns,Advanced
265,Which is an indefinite pronoun?,Anyone,His,They,Ours,A,Indefinite Pronouns,Basic
266,Complete the sentence: “___ left the door open.”,Someone,He,The man,Mine,A,Indefinite Pronouns,Intermediate
267,Identify the correct sentence:,Anybody don’t want to leave.,Nobody want to leave.,Somebody wants to leave.,Everyone aren’t here.,C,Indefinite Pronouns,Advanced
268,Choose the correct form: “I have ___ been waiting for hours.”,be,being,been,was,C,Present Perfect Progressive,Basic
269,Complete the sentence: “She ___ been working all day.”,have,has,had,having,B,Present Perfect Progressive,Intermediate
270,Identify the correct sentence:,We has been studying.,We been studying.,We have been studying.,We studying.,C,Present Perfect Progressive,Advanced
271,Choose the correct sentence: “She looks ___ her sister.”,like,likes,be like,is like,A,Like/look like/be like,Basic
272,Complete the sentence: “What is your boss ___?”,look,be like,like,as,B,Like/look like/be like,Intermediate
273,Identify the correct usage:,He is like his dad.,He looks be like his dad.,He be like his dad.,He be looking like his dad.,A,Like/look like/be like,Advanced
274,Choose the correct word: “Can I ___ your pen?”,lend,borrow,give,have,B,Borrow/lend,Basic
275,Fill in the blank: “She will ___ me her notes.”,borrow,give,lend,have,C,Borrow/lend,Intermediate
276,Identify the correct sentence:,He lent his phone to me.,He borrowed me his phone.,He lend me his phone.,He borrows me his phone.,A,Borrow/lend,Advanced
277,"Choose the correct tag: “You’re tired, ___?”",are you,aren’t you,isn’t it,is it,B,Tag Questions,Basic
278,"Complete the sentence: “They won the game, ___?”",did they,didn’t they,don’t they,won’t they,B,Tag Questions,Intermediate
279,Identify the correct tag question:,"She’s gone, hasn’t she?","She gone, hasn’t she?","She’s gone, isn’t she?","She’s gone, doesn’t she?",A,Tag Questions,Advanced
280,Choose the correct phrase: “He ___ a mistake.”,did,made,took,had,B,Verb Collocations,Basic
281,Complete the sentence: “I need to ___ a decision.”,make,do,take,give,A,Verb Collocations,Intermediate
282,Identify the correct collocation:,She did an effort.,She made an effort.,She had an effort.,She took an effort.,B,Verb Collocations,Advanced
283,Where is the book? “It’s ___ the table.”,in,on,under,to,C,Prepositions,Basic
284,Complete the sentence: “The painting hangs ___ the fireplace.”,over,above,under,behind,A,Prepositions,Intermediate
285,Identify the correct usage:,The shoes are behind the door.,The shoes are in behind the door.,The shoes are to behind the door.,The shoes behind the door.,A,Prepositions,Advanced
286,Choose the correct modal: “It ___ rain later.”,can,might,will,must,B,Modals of Possibility,Basic
287,Complete the sentence: “She ___ be at the library.”,can,may,must,shall,C,Modals of Possibility,Intermediate
288,Identify the correct sentence:,He must be tired.,"He can be tired, isn’t he?","He should be tired, mustn’t he?",He could tired.,A,Modals of Possibility,Advanced
289,Choose the correct adverb: “She drives as ___ as her brother.”,fast,faster,fastest,as fast,D,"Equative, Comparative & Superlative Adverbs",Basic
290,Complete the sentence: “He runs ___ than me.”,faster,fastly,more fast,as fast,A,"Equative, Comparative & Superlative Adverbs",Intermediate
291,Identify the correct sentence:,She spoke the most clearly of all.,She spoke more clearly than everyone.,She spoke clearer than the rest.,Both A and B,D,"Equative, Comparative & Superlative Adverbs",Advanced
292,Choose the correct comparison: “He writes ___ than she does.”,better,more good,gooder,good,A,"Equative, Comparative & Superlative Adverbs",Basic
293,Complete the sentence: “They performed ___ of all the teams.”,most well,best,more good,better,B,"Equative, Comparative & Superlative Adverbs",Intermediate
294,Identify the correct usage:,He dances most gracefully.,He dances the most gracefully.,He dances more graceful.,He dances gracefulliest.,B,"Equative, Comparative & Superlative Adverbs",Advanced
295,Choose the correct sentence: “He works as ___ as his brother.”,harder,hard,hard as,hard than,C,"Equative, Comparative & Superlative Adverbs",Basic
296,"Complete the sentence: “Of all the singers, she sings ___.”",best,better,good,most good,A,"Equative, Comparative & Superlative Adverbs",Intermediate
297,Identify the correct sentence:,He drives more carefully than before.,He drives careful than before.,He drive carefully than before.,He drives carefullyer than before.,A,"Equative, Comparative & Superlative Adverbs",Advanced
298,Fill in the blank: “She can sing ___ than her sister.”,more well,better,weller,gooder,B,"Equative, Comparative & Superlative Adverbs",Intermediate
299,Choose the correct form: “He is ___ fast as she is.”,as,so,too,just,A,"Equative, Comparative & Superlative Adverbs",Basic
300,Identify the correct sentence:,He solved the puzzle the most quickly.,He solved the puzzle quickest.,He solved the puzzle quicklyest.,He solved the puzzle quicklier.,A,"Equative, Comparative & Superlative Adverbs",Advanced
